City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Saquena,PE,74.48,broken clouds,-4.6667,-73.5167,
531,Ganzhou,CN,66.56,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
532,Acapulco,MX,85.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
533,Changping,CN,79.52,clear sky,40.2186,116.2197,Huachang Hotel
534,Soyo,AO,78.71,broken clouds,-6.1349,12.3689,Hotel Mpampa
537,Cap Malheureux,MU,72.09,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
540,Matay,EG,71.17,clear sky,28.419,30.7792,Nag Aespen
543,Boende,CD,72.01,overcast clouds,-0.2167,20.8667,
544,Tabou,CI,78.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
545,Laguna,US,78.91,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
546,Lazaro Cardenas,MX,84.11,clear sky,17.9583,-102.2,Hotel Quinta Antigua
547,Brownwood,US,83.97,few clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
550,Salto Del Guaira,PY,69.26,overcast clouds,-24.0625,-54.3069,7 Saltos Resort
552,Bonthe,SL,81.68,light rain,7.5264,-12.505,Bonthe Holiday Village
557,Ara,IN,73.29,clear sky,25.5667,84.6667,SPOT ON 48440 Ara Exotica SPOT
558,New Glasgow,CA,67.78,scattered clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
