,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Saquena,PE,-4.6667,-73.5167,88.03,63,98,1.59,heavy intensity rain
332,Russell,US,32.3502,-85.1999,83.8,35,40,8.66,scattered clouds
333,Sarkand,KZ,45.41,79.9186,55.99,59,0,5.75,clear sky
334,Laguna,US,38.421,-121.4238,73.49,43,1,1.99,clear sky
335,Korla,CN,41.7597,86.1469,65.26,26,0,2.95,clear sky
336,Roma,US,43.2128,-75.4557,81.68,57,1,11.5,clear sky
337,Eydhafushi,MV,5.1033,73.0708,83.52,78,70,19.33,broken clouds
338,Mahibadhoo,MV,3.7833,72.9667,83.5,77,31,16.87,scattered clouds
339,Ayagoz,KZ,47.9714,80.4392,54.88,65,0,8.28,clear sky
340,Juybar,IR,36.6412,52.9124,75.02,57,3,2.51,clear sky
341,Jalu,LY,29.0331,21.5482,80.4,16,0,8.1,clear sky
342,Jiwani,PK,25.05,61.7417,85.66,71,0,3.94,clear sky
343,Tomatlan,MX,19.9333,-105.25,92.52,33,0,9.98,clear sky
344,Beringovskiy,RU,63.05,179.3167,32.4,86,100,1.14,overcast clouds
